runs.scored,wins,games.behind,attendance
629,79,15,1058206
652,77,17,1302527
755,88,6,1345341
738,81,13,907499
758,94,0,1000763
619,57,37,686085
614,77,5,1351705
668,79,3.5,1246863
608,82,0,1912390
642,71,11.5,1475934
704,80,2.5,1319913
643,81,1.5,1574046
799,76,22.5,800655
741,99,0,2017601
681,82,17,1394004
675,95,3.5,2136192
548,60,39,611826
739,88,11,834193
659,91,0,962572
696,84,7,1556411
662,77,14,1114262
620,72,19,1243080
647,76,15,955741
671,89,2,1273075
618,68,22,917269
684,80,9,1149596
667,77,13,1173292
673,82,8,662401
689,90,0,845693
690,84,5,1193902
669,66,22,1015378
662,79,8.5,1019134
572,71,17,1722209
676,80,8,1808648
751,88,0,1110552
677,86,1.5,1838413
661,88,14,981085
776,98,4,2164307
653,81,21,1090728
798,102,0,2632474
541,60,42,1075399
634,72,30,519987
682,90,4.5,1002157
796,95,0,1748587
688,79,15.5,977039
570,57,37.5,1058836
675,68,28,1213357
681,83,12,1288048
628,72,25.5,1058163
655,75,22.5,750802
710,91,7,1151836
724,76,20.5,737156
758,98,0,1075518
714,79,19,1127924
712,75,17.5,1034819
601,75,17.5,908292
646,82,10.5,1730566
735,86,6.5,1909233
712,92,0,1270018
662,82,10.5,1695270
583,67,40.5,534672
840,108,0,2315603
664,64,43.5,858002
648,88,20,2539349
552,71,37,1281747
659,80,27.5,522919
619,88,10.5,1058609
716,83,15.5,1895846
615,81,16,948776
609,74,24,1467020
570,66,32,1012164
730,97,0,2012434
550,76,14,1006774
586,64,25.5,914945
713,90,0,1680265
743,85,5,715394
686,87,2.5,780593
616,76,14,1164982
611,75,26,1026217
531,55,46,646704
615,86,15,1468754
770,101,0,2480150
708,92,9,1025945
629,72,29,1207079
620,70,32,818179
857,102,0,2629708
625,80,22,886146
608,92,10,2386301
570,73,29,1458478
595,74,28,626868
719,97,2.5,1195769
859,97,2.5,2074549
676,71,28.5,900365
714,74,26,1359856
639,67,33,1114938
831,100,0,2103092
605,54,45.5,1701052
675,74,28,1432633
844,90,12,1657135
822,102,0,1852603
867,84,17.5,1162727
605,63,38.5,495599
624,64,38,1338511
767,94,8,1250722
692,81,20,1439834
665,75,26,1433757
587,64,37,1066825
847,101,0,2700070
734,96,5,1237349
737,83,18,1659287
678,61,37,872464
802,88,10,2519670
680,81,17,1109560
769,98,0,2955087
692,69,29,1376269
673,75,23,700056
659,90,9,1051724
796,99,1,2320643
639,69,29,800584
714,86,13.5,1714893
804,93,6.5,1601406
735,100,0,2335871
590,59,40,1562585
691,87,5,1755386
634,71,20.5,1491100
743,92,0,2255493
666,73,19,787878
532,69,23,526999
614,56,35,877440
692,87,5,1447963
664,79,11,1525311
633,76,12,1427007
607,66,24,1007328
708,90,0,2583389
684,88,1.5,964106
600,69,21,1278215
600,69,26,904494
710,92,2.5,2532497
605,74,21,1126145
727,95,0,3347845
591,84,11,1670107
613,89,6,1740477
757,102,0,1681009
841,91,11.5,2353114
760,81,22,1011644
770,85,18,1630929
807,95,8,1918343
734,89,13.5,2537765
613,53,50.5,1431651
866,88,0,2523575
730,73,14,1280702
851,85,3,2261845
764,82,6,1070521
573,54,34,306763
711,67,21,844447
750,83,5,1519671
706,80,18,1648587
701,95,2,2102173
593,63,35,788905
683,84,14,2775011
775,98,0,1435454
731,86,12,1627256
669,66,23.5,769465
731,90,0,2356933
583,89,1.5,1900312
739,79,11.5,2860954
603,68,22,1456967
672,73,19.5,1456402
805,100,3,1797438
757,83,19,1956092
738,79,23,1033827
830,84,19,1785293
811,86,17,1857408
820,103,0,2627417
624,67,36,1400327
698,65,31,2297327
587,70,26,1200365
809,97,0,2288714
670,77,19.5,769206
686,83,14,842259
610,59,38,836204
756,76,20.5,1198175
614,64,27,1206776
694,90,1,2208175
611,67,24,1192073
728,91,0,2651650
666,83,8,1646757
738,74,17,1385147
630,81,11,1048411
707,89,3.5,2022450
637,93,0,2278217
663,92,1,3249287
591,73,19.5,1139026
573,75,17,1096115
429,59,1,1024247
519,59,2.5,1060379
431,52,7,661395
427,60,2,1149144
493,62,0,874292
421,59,2,1614353
329,37,23.5,755083
476,51,13.5,1441545
476,54,8.5,946651
397,50,11,1279403
378,41,23,469090
458,64,0,1304052
426,44,20,636276
452,57,5,850076
370,38,21.5,565637
443,60,2,1534564
348,41,18.5,704244
491,59,2.5,1638752
407,46,13,541789
464,59,0,1010247
395,50,15,535418
464,66,0,1093730
394,61,6,1321282
450,63,4,2381292
382,41,26,519161
427,56,11.5,632274
774,94,1,1613031
753,89,6,1950124
683,78,17,1044021
729,83,12,1636058
891,95,0,1978896
709,79,16,2041219
651,78,17,1275978
814,93,0,2807360
786,87,6,1567787
784,90,3,2284464
657,60,33,921186
691,68,25,1735489
651,76,17,1070404
590,64,29,1154432
676,73,19,1249278
697,86,6,2318292
609,65,27,1323036
664,89,3,2376394
724,84,8,1024106
685,92,0,2111906
739,89,0,1801985
545,61,28,1326528
569,77,12,1558555
691,88,1,3608881
675,81,8,1607516
673,87,2,1200948
799,98,0,2042071
724,78,20,1782285
704,70,28,768941
789,92,6,1829636
764,87,11,2397131
770,91,7,2257976
795,89,9,1930415
722,70,29,2555016
800,99,0,2132821
696,79,20,1963875
709,70,29,858939
708,74,25,1294941
558,60,39,813537
639,77,22,1363469
701,71,19,1479717
677,82,8,2320651
575,68,22,1112774
696,90,0,2128339
659,84,6,1225916
679,79,11,2317914
746,88,3,2119935
623,74,17,1190419
643,85,6,1351962
654,91,0,3510313
653,81,10,1539815
687,79,12,1251530
681,85,19,2045784
810,86,18,1661618
761,75,29,734079
829,104,0,2704794
641,67,36.5,1608509
758,87,17,1821815
750,89,15,2110009
696,81,3,2402997
679,74,10,2136988
673,84,0,1810018
673,81,3,1598692
738,77,7,1353281
682,74,10,870372
656,69,14.5,1102471
762,96,0,2107655
593,78,18,1606531
652,90,6.5,1842695
720,81,15.5,2062693
615,75,21.5,773500
652,84,12.5,2037448
632,80,12,1724892
627,70,22,1275887
690,80,12,1229862
580,79,13,3134824
686,92,0,1983904
682,66,26,1001545
818,83,16,2132387
800,81,18.5,1786633
729,60,39.5,655181
729,84,15,2286609
690,71,28,1360265
839,97,2,2214587
759,99,0,2468925
732,90,1,2567427
736,85,6,1669888
687,91,0,2162717
705,77,14,1651814
757,77,14,1334599
719,74,17,1128696
617,62,28.5,1112497
686,77,23.5,2161534
633,84,16.5,1502494
695,98,3,2761601
667,75,26,1830350
568,57,43.5,735900
747,101,0,2637563
632,66,29,1350137
677,89,5.5,1834619
706,83,12,1184314
682,95,0,3264593
650,83,12,2210352
556,62,33,818697
708,73,22.5,1973176
794,95,0,2147641
831,84,11.5,1471805
798,87,8.5,1899437
667,77,18,1265041
797,90,5.5,2268030
809,86,9.5,2455477
786,92,0,2655872
644,72,20,1424313
654,76,16,2320794
741,71,21,1255453
731,76,16,1314646
718,67,25,1029045
771,87,5,1692002
680,70,37,1859102
637,78,29.5,1128981
783,108,0,2767601
739,86,21.5,1933335
663,64,44,1000917
601,79,28.5,2471974
615,72,23.5,1387181
732,86,10,1692432
654,96,0,1734276
638,73,23,3023208
656,74,22,1805716
698,83,13,1528748
729,67,31,1835692
842,78,20,2231551
742,61,37,1077898
896,98,0,2061830
862,91,7,1909244
788,89,9,2427672
845,96,2,2778429
770,75,10,2696299
748,77,8,1208060
715,83,2,2392471
786,85,0,2081976
806,81,4,1678921
760,78,8,1134255
823,75,10,1763053
720,76,18.5,2035130
741,91,4,1850324
823,92,3,3034129
702,80,15,2100110
723,80,15,1161193
798,95,0,3072122
747,69,20.5,1217402
783,84,6,2185205
648,76,14,1909902
635,73,17,2797409
668,65,25,1454061
783,90,0,1917168
550,54,34.5,1660738
813,89,0,2464851
666,78,11,1411610
703,88,1,2081162
682,87,2,1923238
772,85,3.5,2633701
763,87,2,2595175
714,75,29,2340925
631,71,32.5,1115749
704,84,19.5,2350181
759,91,13,3030672
800,104,0,2287335
664,68,35.5,1022398
637,70,33.5,1581901
660,77,24,2089034
628,81,20,1478659
703,100,0,3055445
597,65,35.5,1990041
651,85,15,1866713
578,76,25,2892799
555,54,39.5,848089
641,87,7,2072528
617,82,12.5,1933505
628,94,0,2980262
594,83,11,1506896
670,83,11.5,1785297
708,87,2,2535208
774,83,6,2510012
604,73,16,1285542
617,59,30,1543656
707,81,8,1970735
698,74,14.5,2170485
731,89,0,3375883
669,91,8,2647291
693,69,29.5,1045651
690,92,7,2477700
740,80,19,2277438
712,99,0,2667225
694,73,26,1298443
695,83,16,2043993
702,93,0,2491942
632,81,12,1783533
683,87,6,2918710
629,67,26,1861985
637,74,19,1374141
632,86,7,3080980
584,63,28,984930
632,75,17,1979320
647,86,6,1834908
554,77,14,2944653
642,89,3,2009031
699,92,0,2059701
669,76,11.5,2415189
699,88,0,2528986
732,77,11,1225240
750,79,9,1495785
732,74,14,1752900
603,67,21,2006436
767,86,2,3885284
690,80,23,2555688
682,94,9,2002357
707,75,27.5,2244956
666,74,29,1751584
733,103,0,2900217
640,77,26,1509727
676,83,20,2057911
690,77,18,2243791
662,85,10,1373087
775,91,4,2732745
646,77,18,1992484
733,95,0,2049908
599,70,25,2573225
682,65,26,980129
693,91,0,2400892
573,75,16,1310927
728,86,5,3002396
673,75,16,1856396
719,85,6,1975528
686,67,24,2552753
731,84,7,2562435
576,57,34,1051863
817,84,7,1641661
799,83,8,1478729
674,71,20,1863733
684,91,0,4001527
653,81,14,2416236
758,87,8,2934154
727,82,13,2161537
776,95,0,2293842
760,84,11,2713493
702,83,12,2147905
829,85,10,2297720
695,77,20,2314250
579,71,26.5,934742
640,77,20.5,2284484
629,78,20,2050012
768,98,0,2065302
651,84,14,2448699
749,94,0,2140217
689,74,20,2372377
605,65,29,1196152
665,93,1,3348170
636,84,10,1804289
649,75,19,1737478
705,89,7,3567819
599,73,23,2468574
674,76,20,1224094
791,75,21,1423963
740,92,4,1857351
733,76,20,1748737
780,96,0,4028318
579,72,24,2065444
738,86,10,2681156
610,72,24,1867689
747,90,6,2482428
745,96,0,2494160
679,64,32,1651367
682,77,19,2198231
593,78,18,2126720
648,87,9,1669127
599,72,24,1779534
686,70,26,1927448
693,96,0,1829395
631,83,13,2418483
682,98,0,3077400
660,90,8,2315946
608,81,17,1211412
548,63,35,2473266
617,82,16,1721406
574,72,26,1560998
786,85,10,3644965
686,80,15,2422021
790,76,19,2177908
899,85,10,1971421
733,69,26,1688080
821,88,7,2416965
847,95,0,4057947
684,71,26,2057460
776,94,0,2581091
675,84,10,1934578
693,71,26,2048673
715,68,29,2035025
734,82,12,2051853
835,86,8,2244616
738,84,13,2653763
732,94,3,1641437
672,59,38,1873183
877,97,0,3137674
707,75,22,1650593
758,87,10,2844328
767,104,0,3884725
722,73,31,2453232
716,85,19,2084546
675,81,23,3170392
679,61,43,1375432
808,103,1,2606354
758,67,37,4483350
581,64,33,3064847
589,63,6.5,2535359
552,54,17,1775818
679,66,1,1995174
652,53,15,1184783
547,53,18,1268399
670,70,0,1675556
566,55,16,2907933
543,47,5.5,1512622
633,67,0,1697398
574,64,4,1400494
594,53,14,1398565
549,51,1,1242692
569,49,2,1104206
613,52,0,2503198
500,49,16.5,1845208
585,74,0,1276250
506,55,18.5,1151471
521,54,20.5,2290971
466,53,13,1222520
535,53,13,1866544
542,68,6,2539240
609,66,0,1897681
602,66,0.5,1561136
532,58,0,2279355
479,47,12.5,953857
504,55,3.5,1704608
573,53,6.5,3281511
468,51,23.5,1937467
704,71,15,3098475
791,86,0,2164410
840,100,0,2842745
654,60,26,1180979
740,65,35,1087560
749,79,7,1705263
642,56,30,2826483
801,78,1,1748680
755,68,32,1609773
629,70,30,1233530
703,56,44,1057667
730,67,11.5,1174310
796,79,0,1643203
691,74,4.5,1985910
693,73,12,1918265
621,66,24,1309618
657,69,21,1273183
615,69,21,2043598
629,58,27,905517
563,62,22.5,1756727
645,90,0,2561831
747,85,0,1837649
747,76,9,1363801
634,78,0,2766251
668,70,8,1040805
652,67,11,1241500
785,77,1,3390037
673,67,22.5,1700466
949,88,4,3646950
928,85,7,2315231
952,99,0,3318174
783,53,39,1168610
894,80,19.5,1327155
871,92,0,2250877
766,74,18,2559573
762,70,19.5,1820521
898,85,14.5,1676403
746,75,24,1435997
877,78,21.5,1437352
861,78,12,1148380
993,85,4.5,2723850
928,90,0,2889020
772,76,12,2219110
741,88,8,1616709
746,71,25,1588323
650,67,29,1801677
776,73,15,1332150
759,88,0,2654718
773,96,0,2901242
778,81,7,1861428
753,82,6,1975888
703,90,1,3188454
771,91,0,2187886
752,68,23,1413922
961,83,8,3891014
688,80,16,1746767
829,84,6,1767330
812,98,0,3711132
851,78,20,2226136
868,86,0,3404750
784,79,19,1365157
681,78,8,1444027
891,96,2,2580325
654,76,22,2589297
779,80,6,1864782
747,67,19,1517638
772,68,18.5,1411064
764,65,25,1264218
925,90,0,3192237
807,77,13,2945228
687,68,16,2190308
691,78,23,1497609
777,88,13,1766174
668,68,33,1490638
725,79,5,1657022
689,73,11,2634014
791,101,0,3464488
651,76,8,1785788
777,84,0,2046781
742,88,2,3319504
795,76,14,2089333
784,90,0,1690869
923,83,7,3888453
740,92,9,2364387
620,63,51,2261158
787,85,3,2519107
817,79,35,3685194
876,92,22,2343947
850,89,0,3467299
722,65,24,1409391
965,114,0,2919046
816,88,26,2454283
861,80,9,1391146
714,72,16.5,1494875
734,70,19,1165980
804,74,14,1232339
859,76,11.5,2644305
940,88,0,2927409
831,90,12.5,2623000
644,65,41,914717
706,88,18,2287942
713,75,31,1715702
650,69,33,1560950
810,83,19,3194092
826,106,0,3361350
750,77,25,1793679
874,102,0,2450451
669,83,15,3089201
749,98,0,2555901
845,89,9.5,1925634
923,83,7,3789347
667,54,52,1750395
665,65,33,3600412
707,74,28,1811548
772,69,29,1562827
711,70,25,2253123
851,78,20,3433150
836,94,4,2446162
1009,97,0,3468456
747,69,27.5,2026441
900,98,0,3292736
883,84,14,2163464
777,75,21.5,1338851
856,64,32.5,1506068
686,63,33,1202829
893,87,8,1434610
859,79,16,2916346
945,95,0,2771469
747,67,30,2813854
718,68,35,773277
853,97,6.5,2725668
841,77,26,1825337
775,78,18.5,1638023
809,75,21.5,3225334
840,103,0,3284897
865,96,1.5,2061222
823,97,0,2706017
793,77,23,3095346
710,74,26,2523538
872,86,14,2078399
906,72,28,3481065
691,64,39,1369421
908,100,0,3019654
815,74,22.5,1701796
733,69,18,1549052
864,82,9.5,2066977
794,74,13.5,3295128
792,85,2.5,2586032
950,90,5,3456278
823,79,16,2533752
871,87,0,3227657
861,83,4.5,1819886
978,95,0,1947799
879,77,18,1677915
748,69,26,1059715
947,91,0,1728888
907,91,0.5,3148317
848,71,20.5,2800147
764,65,30,2789511
738,67,28,926263
807,94,1,2800221
708,65,30,1612769
793,69,26,1748908
887,95,0,3336493
810,95,0,3234301
825,85,10,2577351
938,72,23,3056139
798,86,11,3010819
752,76,21,2423149
925,97,0,3315330
968,82,15,3285710
731,79,15.5,1218326
792,85,12,2942516
740,73,22,1573621
