instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
14876,2012-09-17,3,1,9,0,0,1,1,1,0.54,0.5152,0.68,0.1642,14,31,45
4746,2011-07-21,3,0,7,15,0,4,1,1,0.9,0.9242,0.53,0.2537,40,93,133
11216,2012-04-17,2,1,4,12,0,2,1,1,0.6,0.6212,0.33,0.3582,65,179,244
4761,2011-07-22,3,0,7,6,0,5,1,1,0.76,0.7424,0.75,0.0896,13,83,96
2532,2011-04-20,2,0,4,9,0,3,1,1,0.66,0.6212,0.61,0.2836,27,170,197
14839,2012-09-15,3,1,9,11,0,6,0,1,0.64,0.6212,0.38,0.3881,228,399,627
11322,2012-04-21,2,1,4,22,0,6,0,1,0.48,0.4697,0.82,0.2985,20,90,110
10580,2012-03-21,2,1,3,22,0,3,1,1,0.52,0.5,0.83,0.1642,41,156,197
12288,2012-06-01,2,1,6,4,0,5,1,2,0.62,0.5909,0.73,0.0896,1,5,6
4123,2011-06-25,3,0,6,16,0,6,0,1,0.76,0.6818,0.43,0.2985,175,235,410
11648,2012-05-05,2,1,5,12,0,6,0,1,0.72,0.6667,0.58,0.1045,220,330,550
12456,2012-06-08,2,1,6,4,0,5,1,1,0.52,0.5,0.63,0.0,1,9,10
8993,2012-01-15,1,1,1,13,0,0,0,1,0.2,0.1818,0.34,0.2836,40,184,224
4183,2011-06-28,3,0,6,4,0,2,1,1,0.66,0.6212,0.74,0.0,1,7,8
6550,2011-10-05,4,0,10,11,0,3,1,1,0.6,0.6212,0.46,0.2836,32,138,170
11702,2012-05-07,2,1,5,18,0,1,1,2,0.6,0.6212,0.53,0.3582,78,602,680
14932,2012-09-19,3,1,9,8,0,3,1,1,0.52,0.5,0.59,0.2239,39,758,797
4153,2011-06-26,3,0,6,22,0,0,0,1,0.7,0.6515,0.51,0.0,19,95,114
7083,2011-10-27,4,0,10,17,0,4,1,2,0.5,0.4848,0.72,0.4627,31,291,322
15659,2012-10-19,4,1,10,15,0,5,1,1,0.64,0.6061,0.65,0.2985,93,302,395
6147,2011-09-18,3,0,9,16,0,0,0,2,0.56,0.5303,0.64,0.1642,134,235,369
5948,2011-09-10,3,0,9,8,0,6,0,1,0.62,0.5758,0.83,0.1642,16,103,119
8165,2011-12-11,4,0,12,20,0,0,0,1,0.22,0.2424,0.55,0.1045,10,62,72
7964,2011-12-03,4,0,12,11,0,6,0,1,0.32,0.3333,0.57,0.0896,48,227,275
15521,2012-10-13,4,1,10,21,0,6,0,1,0.4,0.4091,0.58,0.19399999999999998,47,157,204
8644,2011-12-31,1,0,12,22,0,6,0,1,0.38,0.3939,0.62,0.1343,2,36,38
4061,2011-06-23,3,0,6,2,0,4,1,1,0.72,0.6970000000000001,0.74,0.2239,0,4,4
3074,2011-05-12,2,0,5,23,0,4,1,2,0.54,0.5152,0.77,0.19399999999999998,16,87,103
6210,2011-09-21,3,0,9,7,0,3,1,2,0.54,0.5152,1.0,0.19399999999999998,18,312,330
7931,2011-12-02,4,0,12,2,0,5,1,1,0.24,0.2879,0.75,0.0,0,10,10
11085,2012-04-12,2,1,4,1,0,4,1,1,0.32,0.303,0.66,0.2239,2,7,9
8083,2011-12-08,4,0,12,10,0,4,1,1,0.26,0.2273,0.52,0.3284,1,109,110
15232,2012-10-01,4,1,10,20,0,1,1,3,0.54,0.5152,0.68,0.0,11,251,262
3854,2011-06-14,2,0,6,11,0,2,1,1,0.64,0.6212,0.41,0.2836,40,103,143
8086,2011-12-08,4,0,12,13,0,4,1,1,0.3,0.2727,0.49,0.3582,9,115,124
16356,2012-11-19,4,1,11,5,0,1,1,2,0.36,0.3485,0.66,0.2239,1,38,39
11413,2012-04-25,2,1,4,17,0,3,1,1,0.6,0.5909,0.2,0.2985,68,664,732
3545,2011-06-01,2,0,6,14,0,3,1,1,0.9,0.8182,0.37,0.2537,40,105,145
3014,2011-05-10,2,0,5,11,0,2,1,2,0.56,0.5303,0.43,0.1343,17,108,125
1377,2011-03-02,1,0,3,15,0,3,1,1,0.54,0.5152,0.19,0.4179,19,91,110
16167,2012-11-11,4,1,11,8,0,0,0,1,0.32,0.3333,0.87,0.1045,32,87,119
12867,2012-06-25,3,1,6,7,0,1,1,1,0.66,0.6212,0.74,0.2239,30,455,485
15445,2012-10-10,4,1,10,17,0,3,1,1,0.58,0.5455,0.43,0.2239,91,857,948
10354,2012-03-12,1,1,3,12,0,1,1,1,0.48,0.4697,0.39,0.2239,59,162,221
14713,2012-09-10,3,1,9,5,0,1,1,1,0.5,0.4848,0.72,0.2537,4,36,40
7656,2011-11-20,4,0,11,14,0,0,0,1,0.52,0.5,0.63,0.2537,113,250,363
17294,2012-12-28,1,1,12,10,0,5,1,2,0.26,0.2424,0.56,0.2537,77,85,162
5281,2011-08-12,3,0,8,22,0,5,1,1,0.68,0.6364,0.51,0.0,74,157,231
6823,2011-10-16,4,0,10,20,0,0,0,1,0.54,0.5152,0.52,0.4627,49,129,178
3813,2011-06-12,2,0,6,18,0,0,0,1,0.7,0.6667,0.74,0.1642,69,187,256
9547,2012-02-07,1,1,2,17,0,2,1,1,0.44,0.4394,0.35,0.19399999999999998,15,494,509
13528,2012-07-22,3,1,7,20,0,0,0,1,0.7,0.6667,0.74,0.1642,124,254,378
8336,2011-12-18,4,0,12,23,0,0,0,1,0.2,0.2273,0.75,0.1045,6,31,37
11632,2012-05-04,2,1,5,20,0,5,1,1,0.68,0.6364,0.51,0.1045,58,255,313
10456,2012-03-16,1,1,3,18,0,5,1,3,0.48,0.4697,0.82,0.0896,31,377,408
5109,2011-08-05,3,0,8,18,0,5,1,1,0.76,0.6970000000000001,0.52,0.2537,105,361,466
693,2011-02-01,1,0,2,5,0,2,1,3,0.14,0.2121,0.93,0.0,0,3,3
8037,2011-12-06,4,0,12,12,0,2,1,3,0.46,0.4545,1.0,0.2239,5,50,55
4336,2011-07-04,3,0,7,13,1,1,0,2,0.78,0.7121,0.49,0.0,242,181,423
6978,2011-10-23,4,0,10,8,0,0,0,1,0.36,0.3485,0.87,0.1343,32,56,88
12655,2012-06-16,2,1,6,11,0,6,0,1,0.66,0.6212,0.39,0.1642,213,353,566
6142,2011-09-18,3,0,9,11,0,0,0,1,0.52,0.5,0.68,0.2239,116,201,317
4372,2011-07-06,3,0,7,1,0,3,1,1,0.7,0.6667,0.74,0.1343,4,11,15
14053,2012-08-13,3,1,8,17,0,1,1,1,0.8,0.7121,0.36,0.1642,102,716,818
11467,2012-04-27,2,1,4,23,0,5,1,1,0.4,0.4091,0.4,0.2537,11,105,116
920,2011-02-10,1,0,2,20,0,4,1,1,0.14,0.1818,0.31,0.0896,4,93,97
16282,2012-11-16,4,1,11,3,0,5,1,2,0.3,0.303,0.65,0.1343,0,6,6
10810,2012-03-31,2,1,3,12,0,6,0,1,0.48,0.4697,0.67,0.0,263,358,621
9978,2012-02-25,1,1,2,18,0,6,0,1,0.3,0.2576,0.28,0.5821,7,126,133
13009,2012-07-01,3,1,7,5,0,0,0,1,0.68,0.6364,0.79,0.1045,3,7,10
11809,2012-05-12,2,1,5,5,0,6,0,1,0.42,0.4242,0.67,0.1343,5,8,13
11377,2012-04-24,2,1,4,5,0,2,1,1,0.3,0.2879,0.7,0.19399999999999998,0,22,22
16845,2012-12-09,4,1,12,15,0,0,0,3,0.36,0.3485,0.93,0.1642,25,200,225
13859,2012-08-05,3,1,8,15,0,0,0,1,0.9,0.8182,0.37,0.5224,164,286,450
9711,2012-02-14,1,1,2,13,0,2,1,2,0.36,0.3333,0.4,0.2537,6,167,173
4158,2011-06-27,3,0,6,3,0,1,1,3,0.62,0.5909,0.78,0.1343,0,2,2
8537,2011-12-27,1,0,12,10,0,2,1,2,0.32,0.3333,0.66,0.0896,13,47,60
10560,2012-03-21,2,1,3,2,0,3,1,1,0.5,0.4848,0.88,0.1343,2,8,10
16501,2012-11-25,4,1,11,6,0,0,0,2,0.22,0.2424,0.47,0.1045,1,10,11
6647,2011-10-09,4,0,10,12,0,0,0,1,0.64,0.6212,0.44,0.0896,212,243,455
8207,2011-12-13,4,0,12,14,0,2,1,1,0.4,0.4091,0.37,0.2537,18,116,134
869,2011-02-08,1,0,2,15,0,2,1,1,0.22,0.19699999999999998,0.35,0.3881,6,45,51
16552,2012-11-27,4,1,11,9,0,2,1,2,0.32,0.3333,0.81,0.1343,11,257,268
16246,2012-11-14,4,1,11,15,0,3,1,1,0.36,0.3333,0.43,0.2836,32,228,260
16133,2012-11-09,4,1,11,22,0,5,1,1,0.34,0.3485,0.71,0.1045,17,146,163
6295,2011-09-24,4,0,9,20,0,6,0,1,0.62,0.5758,0.83,0.0,77,166,243
6084,2011-09-16,3,0,9,1,0,5,1,1,0.42,0.4242,0.67,0.19399999999999998,7,19,26
11045,2012-04-10,2,1,4,8,0,2,1,1,0.38,0.3939,0.62,0.1343,22,670,692
13653,2012-07-28,3,1,7,1,0,6,0,1,0.72,0.6818,0.7,0.0896,11,69,80
4914,2011-07-28,3,0,7,15,0,4,1,1,0.86,0.8182,0.5,0.19399999999999998,22,124,146
5006,2011-08-01,3,0,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,53,66,119
12736,2012-06-19,2,1,6,20,0,2,1,1,0.8,0.7576,0.55,0.2537,59,399,458
12452,2012-06-08,2,1,6,0,0,5,1,1,0.56,0.5303,0.56,0.1642,18,59,77
12567,2012-06-12,2,1,6,19,0,2,1,1,0.68,0.6364,0.83,0.19399999999999998,47,444,491
10808,2012-03-31,2,1,3,10,0,6,0,2,0.4,0.4091,0.76,0.1343,108,205,313
7596,2011-11-18,4,0,11,2,0,5,1,1,0.24,0.2273,0.44,0.2239,2,8,10
15967,2012-11-02,4,1,11,23,0,5,1,1,0.34,0.303,0.53,0.2985,11,108,119
11349,2012-04-23,2,1,4,1,0,1,1,3,0.34,0.303,0.87,0.3582,1,1,2
4091,2011-06-24,3,0,6,8,0,5,1,1,0.7,0.6667,0.74,0.2239,27,439,466
11314,2012-04-21,2,1,4,14,0,6,0,1,0.7,0.6364,0.45,0.2836,278,331,609
5239,2011-08-11,3,0,8,4,0,4,1,1,0.64,0.6212,0.57,0.1642,1,4,5
1132,2011-02-19,1,0,2,21,0,6,0,1,0.32,0.2727,0.26,0.5522,4,29,33
11209,2012-04-17,2,1,4,5,0,2,1,1,0.6,0.6212,0.53,0.2537,1,29,30
2147,2011-04-04,2,0,4,7,0,1,1,2,0.44,0.4394,0.54,0.2537,7,150,157
13062,2012-07-03,3,1,7,10,0,2,1,1,0.82,0.7424,0.43,0.2239,56,153,209
16365,2012-11-19,4,1,11,14,0,1,1,1,0.44,0.4394,0.54,0.2537,47,170,217
12380,2012-06-05,2,1,6,0,0,2,1,1,0.54,0.5152,0.68,0.4179,6,28,34
3166,2011-05-16,2,0,5,19,0,1,1,1,0.58,0.5455,0.83,0.2537,36,272,308
10853,2012-04-02,2,1,4,8,0,1,1,1,0.36,0.3333,0.57,0.3284,36,553,589
9492,2012-02-05,1,1,2,9,0,0,0,2,0.24,0.2273,0.7,0.2239,9,83,92
7565,2011-11-16,4,0,11,19,0,3,1,3,0.46,0.4545,0.88,0.3881,3,108,111
16229,2012-11-13,4,1,11,22,0,2,1,1,0.26,0.2273,0.56,0.3284,15,120,135
15098,2012-09-26,4,1,9,6,0,3,1,1,0.54,0.5152,0.73,0.19399999999999998,3,179,182
8527,2011-12-27,1,0,12,0,0,2,1,1,0.26,0.2576,0.7,0.1642,3,9,12
5208,2011-08-09,3,0,8,21,0,2,1,1,0.78,0.6970000000000001,0.46,0.2537,46,184,230
4119,2011-06-25,3,0,6,12,0,6,0,1,0.74,0.6515,0.4,0.2836,140,252,392
5532,2011-08-23,3,0,8,9,0,2,1,2,0.66,0.6212,0.44,0.0,34,191,225
14633,2012-09-06,3,1,9,21,0,4,1,1,0.64,0.5758,0.89,0.1642,32,240,272
9427,2012-02-02,1,1,2,16,0,4,1,1,0.46,0.4545,0.55,0.2836,18,211,229
12851,2012-06-24,3,1,6,15,0,0,0,1,0.86,0.7424,0.28,0.2239,197,290,487
11988,2012-05-19,2,1,5,16,0,6,0,1,0.74,0.6515,0.3,0.1045,331,311,642
3462,2011-05-29,2,0,5,3,0,0,0,1,0.62,0.5606,0.88,0.1045,2,24,26
5362,2011-08-16,3,0,8,7,0,2,1,1,0.64,0.6061,0.69,0.2537,18,328,346
4348,2011-07-05,3,0,7,1,0,2,1,1,0.7,0.6515,0.65,0.1045,15,24,39
14768,2012-09-12,3,1,9,12,0,3,1,1,0.68,0.6364,0.36,0.1343,88,264,352
13651,2012-07-27,3,1,7,23,0,5,1,1,0.76,0.7273,0.66,0.0,34,155,189
17256,2012-12-26,1,1,12,20,0,3,1,3,0.32,0.303,0.93,0.2537,0,32,32
3718,2011-06-08,2,0,6,19,0,3,1,1,0.82,0.8029999999999999,0.59,0.1343,61,323,384
2548,2011-04-21,2,0,4,1,0,4,1,1,0.52,0.5,0.45,0.2239,6,20,26
1075,2011-02-17,1,0,2,12,0,4,1,1,0.48,0.4697,0.41,0.2239,15,86,101
7173,2011-10-31,4,0,10,11,0,1,1,1,0.4,0.4091,0.5,0.1343,31,97,128
11603,2012-05-03,2,1,5,15,0,4,1,1,0.66,0.6212,0.61,0.19399999999999998,63,220,283
5042,2011-08-02,3,0,8,23,0,2,1,2,0.8,0.7424,0.49,0.1642,29,103,132
10650,2012-03-24,2,1,3,20,0,6,0,3,0.44,0.4394,1.0,0.19399999999999998,31,80,111
7741,2011-11-24,4,0,11,3,1,4,0,1,0.28,0.2879,0.65,0.1343,1,4,5
12613,2012-06-14,2,1,6,17,0,4,1,1,0.72,0.6667,0.48,0.2239,117,750,867
14767,2012-09-12,3,1,9,11,0,3,1,1,0.66,0.6212,0.5,0.19399999999999998,51,181,232
10585,2012-03-22,2,1,3,3,0,4,1,1,0.52,0.5,0.83,0.0896,0,7,7
9456,2012-02-03,1,1,2,21,0,5,1,1,0.34,0.3485,0.49,0.1045,8,126,134
4960,2011-07-30,3,0,7,13,0,6,0,1,0.88,0.7576,0.29,0.0,125,183,308
10867,2012-04-02,2,1,4,22,0,1,1,1,0.42,0.4242,0.44,0.19399999999999998,17,106,123
16972,2012-12-14,4,1,12,22,0,5,1,1,0.28,0.2879,0.75,0.1045,4,134,138
16511,2012-11-25,4,1,11,16,0,0,0,1,0.3,0.2879,0.39,0.2239,25,203,228
7105,2011-10-28,4,0,10,15,0,5,1,2,0.36,0.3333,0.43,0.2537,44,171,215
434,2011-01-20,1,0,1,2,0,4,1,1,0.26,0.2727,0.56,0.0,0,2,2
14836,2012-09-15,3,1,9,8,0,6,0,1,0.56,0.5303,0.49,0.4179,43,169,212
9329,2012-01-29,1,1,1,14,0,0,0,1,0.32,0.303,0.26,0.2537,51,229,280
2845,2011-05-03,2,0,5,10,0,2,1,2,0.64,0.6061,0.69,0.3582,36,91,127
1206,2011-02-23,1,0,2,7,0,3,1,1,0.12,0.1515,0.54,0.1343,2,94,96
12976,2012-06-29,3,1,6,20,0,5,1,1,0.92,0.8939,0.42,0.2537,53,255,308
16596,2012-11-29,4,1,11,6,0,4,1,1,0.22,0.2727,0.69,0.0,1,120,121
4445,2011-07-09,3,0,7,2,0,6,0,1,0.64,0.5758,0.89,0.1642,12,43,55
14023,2012-08-12,3,1,8,11,0,0,0,1,0.74,0.6667,0.42,0.1642,167,282,449
12168,2012-05-27,2,1,5,4,0,0,0,1,0.62,0.5758,0.83,0.19399999999999998,4,7,11
3379,2011-05-25,2,0,5,16,0,3,1,1,0.74,0.6667,0.51,0.2836,61,238,299
7249,2011-11-03,4,0,11,15,0,4,1,1,0.52,0.5,0.52,0.1642,24,138,162
10851,2012-04-02,2,1,4,6,0,1,1,1,0.36,0.3182,0.71,0.4627,6,104,110
6513,2011-10-03,4,0,10,22,0,1,1,2,0.4,0.4091,0.82,0.0,12,79,91
11944,2012-05-17,2,1,5,20,0,4,1,1,0.6,0.6212,0.4,0.19399999999999998,83,363,446
7377,2011-11-08,4,0,11,23,0,2,1,1,0.36,0.3788,0.81,0.0,3,45,48
5796,2011-09-03,3,0,9,22,0,6,0,1,0.68,0.6364,0.83,0.1045,66,96,162
3972,2011-06-19,2,0,6,9,0,0,0,2,0.68,0.6364,0.74,0.1045,58,111,169
6385,2011-09-28,4,0,9,14,0,3,1,1,0.72,0.6818,0.62,0.2537,25,145,170
8391,2011-12-21,1,0,12,6,0,3,1,2,0.36,0.3788,0.87,0.0,1,75,76
12662,2012-06-16,2,1,6,18,0,6,0,2,0.72,0.6515,0.37,0.2239,256,315,571
7861,2011-11-29,4,0,11,4,0,2,1,2,0.52,0.5,0.83,0.3284,1,5,6
4909,2011-07-28,3,0,7,10,0,4,1,1,0.8,0.7576,0.55,0.2836,30,86,116
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
14408,2012-08-28,3,1,8,12,0,2,1,1,0.8,0.7424,0.49,0.2836,56,241,297
10095,2012-03-01,1,1,3,16,0,4,1,1,0.58,0.5455,0.32,0.2985,38,323,361
16163,2012-11-11,4,1,11,4,0,0,0,1,0.32,0.3333,0.81,0.1045,5,6,11
13368,2012-07-16,3,1,7,4,0,1,1,1,0.68,0.6364,0.79,0.1045,1,11,12
14751,2012-09-11,3,1,9,19,0,2,1,1,0.62,0.6212,0.41,0.19399999999999998,56,540,596
13625,2012-07-26,3,1,7,21,0,4,1,1,0.8,0.7424,0.49,0.6119,35,236,271
4473,2011-07-10,3,0,7,6,0,0,0,1,0.64,0.5909,0.78,0.0896,8,17,25
10284,2012-03-09,1,1,3,13,0,5,1,2,0.38,0.3939,0.29,0.3881,49,175,224
288,2011-01-13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38
17271,2012-12-27,1,1,12,11,0,4,1,2,0.28,0.2424,0.56,0.4478,23,80,103
1118,2011-02-19,1,0,2,7,0,6,0,1,0.38,0.3939,0.17,0.5224,6,16,22
16030,2012-11-05,4,1,11,14,0,1,1,1,0.38,0.3939,0.4,0.1642,31,165,196
7904,2011-11-30,4,0,11,23,0,3,1,1,0.28,0.2576,0.52,0.2836,4,46,50
7254,2011-11-03,4,0,11,20,0,4,1,1,0.42,0.4242,0.71,0.1045,11,198,209
2811,2011-05-02,2,0,5,0,0,1,1,1,0.46,0.4545,0.72,0.1343,68,109,177
6464,2011-10-01,4,0,10,21,0,6,0,3,0.36,0.3636,0.87,0.1045,3,53,56
14000,2012-08-11,3,1,8,12,0,6,0,1,0.76,0.7121,0.58,0.2239,214,332,546
4447,2011-07-09,3,0,7,4,0,6,0,1,0.64,0.5758,0.83,0.2239,2,4,6
3368,2011-05-25,2,0,5,5,0,3,1,1,0.56,0.5303,0.88,0.0896,2,23,25
8698,2012-01-03,1,1,1,5,0,2,1,1,0.14,0.1364,0.54,0.19399999999999998,0,12,12
8902,2012-01-11,1,1,1,18,0,3,1,3,0.34,0.3333,0.87,0.19399999999999998,2,96,98
11595,2012-05-03,2,1,5,7,0,4,1,3,0.44,0.4394,0.94,0.1045,8,376,384
13613,2012-07-26,3,1,7,9,0,4,1,2,0.72,0.6818,0.7,0.1343,55,289,344
6574,2011-10-06,4,0,10,11,0,4,1,1,0.54,0.5152,0.49,0.0,29,115,144
8138,2011-12-10,4,0,12,17,0,6,0,1,0.28,0.2576,0.36,0.3284,34,151,185
8885,2012-01-11,1,1,1,1,0,3,1,1,0.24,0.2576,0.87,0.0896,1,6,7
7494,2011-11-13,4,0,11,20,0,0,0,1,0.5,0.4848,0.31,0.3582,24,115,139
3440,2011-05-28,2,0,5,5,0,6,0,1,0.56,0.5303,0.88,0.2239,4,3,7
14766,2012-09-12,3,1,9,10,0,3,1,1,0.62,0.6061,0.61,0.1343,57,148,205
9881,2012-02-21,1,1,2,17,0,2,1,1,0.38,0.3939,0.4,0.4478,21,411,432
14611,2012-09-05,3,1,9,23,0,3,1,1,0.7,0.6667,0.84,0.0896,24,126,150
9129,2012-01-21,1,1,1,6,0,6,0,3,0.16,0.1667,0.93,0.1642,0,1,1
8126,2011-12-10,4,0,12,5,0,6,0,1,0.26,0.2576,0.6,0.1642,0,6,6
2181,2011-04-05,2,0,4,17,0,2,1,1,0.42,0.4242,0.38,0.4179,27,246,273
5989,2011-09-12,3,0,9,1,0,1,1,1,0.56,0.5303,0.88,0.0,1,11,12
6479,2011-10-02,4,0,10,12,0,0,0,2,0.4,0.4091,0.62,0.19399999999999998,78,243,321
1237,2011-02-24,1,0,2,15,0,4,1,3,0.4,0.4091,0.54,0.3881,5,58,63
8353,2011-12-19,4,0,12,16,0,1,1,1,0.4,0.4091,0.4,0.2537,19,189,208
4862,2011-07-26,3,0,7,11,0,2,1,1,0.82,0.7121,0.3,0.0,49,102,151
